pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
C. elegans Young adult vs C. elegans Gravid adult	1	0.121323803916491	73.2739239685434	0.518665595958522	0.001	0.00104347826086957	*
C. elegans Young adult vs C. inopinata L4	1	0.0619824354399962	38.1963994954834	0.385058325602055	0.001	0.00104347826086957	*
C. elegans Young adult vs C. briggsae Dauer	1	2.06533355887523	878.18331097753	0.885994852063685	0.001	0.00104347826086957	*
C. elegans Young adult vs C. tropicalis Dauer	1	1.522059207256	663.385765039985	0.845739168923047	0.001	0.00104347826086957	*
C. elegans Gravid adult vs C. inopinata L4	1	0.016910611442402	10.7352017976351	0.131341228277798	0.002	0.00206896551724138	*
C. elegans Gravid adult vs C. briggsae Dauer	1	3.92666848513865	1733.52039262705	0.933747024547385	0.001	0.00104347826086957	*
C. elegans Gravid adult vs C. tropicalis Dauer	1	3.16249412338896	1426.23323260069	0.915876442104167	0.001	0.00104347826086957	*
C. inopinata L4 vs C. briggsae Dauer	1	3.03700554822232	1329.3689870865	0.919743677194965	0.001	0.00104347826086957	*
C. inopinata L4 vs C. tropicalis Dauer	1	2.38522124590439	1068.24921247315	0.895994898799069	0.001	0.00104347826086957	*
C. briggsae Dauer vs C. tropicalis Dauer	1	0.112237080664898	44.5263852074031	0.201909559101177	0.001	0.00104347826086957	*
