column_label	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif
3	length	C. elegans L3	C. tropicalis Dauer	20	20	227	0.473	0.506	ns
3	length	C. elegans L4	C. inopinata Adult	20	20	0	1.45e-11	8.25e-11	****
3	length	C. elegans L4	C. inopinata Dauer	20	20	400	1.45e-11	8.25e-11	****
3	length	C. elegans L4	C. inopinata L1	20	20	400	6.75e-08	1.1e-07	****
3	length	C. elegans L4	C. inopinata L2	20	20	400	6.78e-08	1.1e-07	****
3	length	C. elegans L4	C. inopinata L3	20	20	249	0.189	0.205	ns
3	length	C. elegans L4	C. inopinata L4	20	20	0	1.45e-11	8.25e-11	****
3	length	C. elegans L4	C. tropicalis Dauer	20	20	400	1.45e-11	8.25e-11	****
3	length	C. inopinata Adult	C. inopinata Dauer	20	20	400	1.45e-11	8.25e-11	****
3	length	C. inopinata Adult	C. inopinata L1	20	20	400	6.75e-08	1.1e-07	****
3	length	C. inopinata Adult	C. inopinata L2	20	20	400	6.78e-08	1.1e-07	****
3	length	C. inopinata Adult	C. inopinata L3	20	20	400	6.79e-08	1.1e-07	****
3	length	C. inopinata Adult	C. inopinata L4	20	20	400	1.45e-11	8.25e-11	****
3	length	C. inopinata Adult	C. tropicalis Dauer	20	20	400	1.45e-11	8.25e-11	****
3	length	C. inopinata Dauer	C. inopinata L1	20	20	400	6.75e-08	1.1e-07	****
3	length	C. inopinata Dauer	C. inopinata L2	20	20	224.5	0.516	0.54	ns
3	length	C. inopinata Dauer	C. inopinata L3	20	20	0	6.79e-08	1.1e-07	****
3	length	C. inopinata Dauer	C. inopinata L4	20	20	0	1.45e-11	8.25e-11	****
3	length	C. inopinata Dauer	C. tropicalis Dauer	20	20	75.5	0.000794	0.000952	***
3	length	C. inopinata L1	C. inopinata L2	20	20	8	2.2e-07	3.08e-07	****
3	length	C. inopinata L1	C. inopinata L3	20	20	0	6.74e-08	1.1e-07	****
3	length	C. inopinata L1	C. inopinata L4	20	20	0	6.75e-08	1.1e-07	****
3	length	C. inopinata L1	C. tropicalis Dauer	20	20	0	6.75e-08	1.1e-07	****
3	length	C. inopinata L2	C. inopinata L3	20	20	1	7.87e-08	1.22e-07	****
3	length	C. inopinata L2	C. inopinata L4	20	20	0	6.78e-08	1.1e-07	****
3	length	C. inopinata L2	C. tropicalis Dauer	20	20	83.5	0.002	0.002	**
3	length	C. inopinata L3	C. inopinata L4	20	20	4	1.23e-07	1.83e-07	****
3	length	C. inopinata L3	C. tropicalis Dauer	20	20	390	2.96e-07	4.02e-07	****
3	length	C. inopinata L4	C. tropicalis Dauer	20	20	400	1.45e-11	8.25e-11	****
4	length	C. briggsae Dauer	C. elegans Adult	20	20	0	1.45e-11	1.88e-10	****
4	length	C. briggsae Dauer	C. elegans Dauer	20	20	179.5	0.588	0.601	ns
4	length	C. briggsae Dauer	C. elegans L1	20	20	400	6.78e-08	1.12e-07	****
4	length	C. briggsae Dauer	C. elegans L2	20	20	333.5	0.000321	0.000384	***
4	length	C. briggsae Dauer	C. elegans L3	20	20	41.5	1.91e-05	2.38e-05	****
4	length	C. briggsae Dauer	C. elegans L4	20	20	0	6.79e-08	1.12e-07	****
4	length	C. briggsae Dauer	C. inopinata Adult	20	20	0	1.45e-11	1.88e-10	****
4	length	C. briggsae Dauer	C. inopinata Dauer	20	20	240.5	0.279	0.295	ns
4	length	C. briggsae Dauer	C. inopinata L1	20	20	399.5	7.27e-08	1.18e-07	****
4	length	C. briggsae Dauer	C. inopinata L2	20	20	208.5	0.829	0.829	ns
4	length	C. briggsae Dauer	C. inopinata L3	20	20	2	9.16e-08	1.44e-07	****
4	length	C. briggsae Dauer	C. inopinata L4	20	20	0	6.79e-08	1.12e-07	****
4	length	C. briggsae Dauer	C. tropicalis Dauer	20	20	57.5	0.000122	0.00015	***
4	length	C. elegans Adult	C. elegans Dauer	20	20	400	1.45e-11	1.88e-10	****
