column_label	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif
2	width	C. elegans L4	C. inopinata L4	20	20	179.5	0.587	0.594	ns
2	width	C. elegans L4	C. tropicalis Dauer	20	20	400	6.49e-08	1.44e-07	****
2	width	C. inopinata Adult	C. inopinata Dauer	20	20	400	6.52e-08	1.44e-07	****
2	width	C. inopinata Adult	C. inopinata L1	20	20	400	6.18e-08	1.44e-07	****
2	width	C. inopinata Adult	C. inopinata L2	20	20	400	6.62e-08	1.44e-07	****
2	width	C. inopinata Adult	C. inopinata L3	20	20	400	6.63e-08	1.44e-07	****
2	width	C. inopinata Adult	C. inopinata L4	20	20	393.5	1.74e-07	2.88e-07	****
2	width	C. inopinata Adult	C. tropicalis Dauer	20	20	400	6.6e-08	1.44e-07	****
2	width	C. inopinata Dauer	C. inopinata L1	20	20	398	8.06e-08	1.53e-07	****
2	width	C. inopinata Dauer	C. inopinata L2	20	20	302	0.006	0.007	**
2	width	C. inopinata Dauer	C. inopinata L3	20	20	36.5	9.81e-06	1.29e-05	****
2	width	C. inopinata Dauer	C. inopinata L4	20	20	1.5	8.07e-08	1.53e-07	****
2	width	C. inopinata Dauer	C. tropicalis Dauer	20	20	367	6.2e-06	8.42e-06	****
2	width	C. inopinata L1	C. inopinata L2	20	20	30	3.9e-06	5.55e-06	****
2	width	C. inopinata L1	C. inopinata L3	20	20	0	6.08e-08	1.44e-07	****
2	width	C. inopinata L1	C. inopinata L4	20	20	0	6.11e-08	1.44e-07	****
2	width	C. inopinata L1	C. tropicalis Dauer	20	20	80	0.001	0.001	**
2	width	C. inopinata L2	C. inopinata L3	20	20	13.5	4.67e-07	7.46e-07	****
2	width	C. inopinata L2	C. inopinata L4	20	20	0	6.54e-08	1.44e-07	****
2	width	C. inopinata L2	C. tropicalis Dauer	20	20	273	0.049	0.055	ns
2	width	C. inopinata L3	C. inopinata L4	20	20	32.5	5.93e-06	8.18e-06	****
2	width	C. inopinata L3	C. tropicalis Dauer	20	20	395	1.37e-07	2.31e-07	****
2	width	C. inopinata L4	C. tropicalis Dauer	20	20	400	6.52e-08	1.44e-07	****
3	width	C. briggsae Dauer	C. elegans Adult	20	20	0	6.6e-08	1.31e-07	****
3	width	C. briggsae Dauer	C. elegans Dauer	20	20	214.5	0.702	0.718	ns
3	width	C. briggsae Dauer	C. elegans L1	20	20	314	0.002	0.002	**
3	width	C. briggsae Dauer	C. elegans L2	20	20	25.5	2.31e-06	3.28e-06	****
3	width	C. briggsae Dauer	C. elegans L3	20	20	0	5.92e-08	1.31e-07	****
3	width	C. briggsae Dauer	C. elegans L4	20	20	0	6.54e-08	1.31e-07	****
3	width	C. briggsae Dauer	C. inopinata Adult	20	20	0	6.6e-08	1.31e-07	****
3	width	C. briggsae Dauer	C. inopinata Dauer	20	20	13	4.28e-07	6.49e-07	****
3	width	C. briggsae Dauer	C. inopinata L1	20	20	233	0.374	0.391	ns
3	width	C. briggsae Dauer	C. inopinata L2	20	20	66	0.000283	0.000358	***
3	width	C. briggsae Dauer	C. inopinata L3	20	20	0	6.5e-08	1.31e-07	****
3	width	C. briggsae Dauer	C. inopinata L4	20	20	0	6.39e-08	1.31e-07	****
3	width	C. briggsae Dauer	C. tropicalis Dauer	20	20	189.5	0.785	0.785	ns
3	width	C. elegans Adult	C. elegans Dauer	20	20	400	6.16e-08	1.31e-07	****
